Name;First_gp;Podiums
Charles Leclerc;2018;50
Valtteri Bottas;2013;67
Sergio Perez;2011;39
Gabriel Bortoleto;2025;0
Nico Hulkenberg;2010;1
Lance Stroll;2017;3
Fernando Alonso;2001;106
Franco Colapinto;2024;0
Lewis Hamilton;2007;202
Esteban Ocon;2016;4
Oliver Bearman;2024;0
Lando Norris;2019;44
George Russell;2019;24
Oscar Piastri;2023;26
Kimi Antonelli;2025;3
Liam Lawson;2023;0
Arvid Lindblad;2026;0
Max Verstappen;2015;127
Isack Hadjar;2025;1
Carlos Sainz;2015;29
Alexander Albon;2019;2
Pierre Gasly;2017;5
