Grand Prix;Daniel Ricciardo ;;;Nico Rosberg;;
;Start;Finish;Points;Start;Finish;Points
Australian Grand Prix;8;4;12;2;1;25
Bahrain Grand Prix;5;4;12;2;1;25
Chinese Grand Prix;2;4;12;1;1;25
Russian Grand Prix;5;11;0;1;1;25
Spanish Grand Prix;3;4;12;2;22;0
Monaco Grand Prix;1;2;18;2;7;6
Canadian Grand Prix;4;7;6;2;5;10
European Grand Prix;2;7;6;1;1;25
Austrian Grand Prix;5;5;10;6;4;12
British Grand Prix;4;4;12;2;3;15
Hungarian Grand Prix;3;3;15;1;2;18
German Grand Prix;3;2;18;1;4;12
Belgian Grand Prix;5;2;18;1;1;25
Italian Grand Prix;6;5;10;2;1;25
Singapore Grand Prix;2;2;18;1;1;25
Malaysian Grand Prix;4;1;25;2;3;15
Japanese Grand Prix;4;6;8;1;1;25
United States Grand Prix;3;3;15;2;2;18
Mexican Grand Prix;4;3;15;2;2;18
Brazilian Grand Prix;6;8;4;2;2;18
Abu Dhabi Grand Prix;3;5;10;2;2;18
